log_template_id,port_id,entry_template,log_annotation_id
1,11,{timestamp} Reading input records from {input1_data_file_name},36
2,20,{timestamp} Reading input record {RecordID},63
3,24,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value},76
4,24,{timestamp} Checking if {field_name} value is Empty: {check_result},77
5,29,{timestamp} {final_result} record {RecordID},91
6,36,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value},110
7,36,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {compliant_result}.",111
8,41,{timestamp} {final_result} record {RecordID},124
9,53,{timestamp} UPDATING {field_name} from {original_value} to {updated_value},152
10,57,{timestamp} {final_result} record {RecordID},163
11,66,{timestamp} Wrote {accepted_record_count} ACCEPTED records to {output1_data_file_name},187
12,66,{timestamp} Wrote {rejected_record_count} UNABLE-to-determine-validity records to {output1_data_file_name},188
13,71,{timestamp} Reading input records from {input2_data_file_name},209
14,77,{timestamp} Reading input record {RecordID},226
15,81,{timestamp} Trying {check_type} {source_used} {match_method} match for validating {field_name}: {field_name_value},239
16,81,{timestamp} Checking if {field_name} value is Empty: {check_result},240
17,85,{timestamp} {final_result} record {RecordID},252
18,89,"{timestamp} {match_method} match was {match_result}, compliant with {source_used}: {match_result}.",265
19,92,{timestamp} UPDATING {field_name} from {original_value} to {updated_value},276
20,97,{timestamp} {final_result} record {RecordID},290
21,104,{timestamp} Wrote {accepted2_record_count} accepted records to {output2_data_file_name},313
22,104,{timestamp} Wrote {rejected2_record_count} UNABLE-to-determine-validity records to {rejected2_data_file_name},314
